novel,token,count,suggested_category,chapter_number,sentence_number,context_snippet
noli,Franciscano,2,B,28,28-6,"""Tangi kong kaibigan: kailan ma'y hindi pa ako nacapapanood, at inaacala kong hindi na ako macapapan..."
noli,Cataastaasan,2,B,28,28-16,"Ang totoong cagalanggalang na si Pari Fray Bernardo Salvi na cura nitong bayan, at ang totoong cagal..."
noli,champaña,2,B,28,28-19,"Hindi ko dapat iwan sa tintero, na sa bahay ng nag-anyaya'y pinainom kami ng champaña at masasarap n..."
noli,nacaunawa,2,B,28,28-22,"Kilala na po ninyo ang ating mga artistang si na Ratia, Carvajal at Fernandez; kami lamang ang nacau..."
noli,catacataca,2,B,28,28-23,"Magaling ang pagkakalabas ni Chananay at ni Balbino, baga man may caunting pamamaos nila: isang pagk..."
noli,princesa,2,B,28,28-24,Lubhang naibigan ng mga indio at lalong-lalo na ng gobernadorcillo ang comediang tagalog: nagpakita ...
noli,Capayapaan,2,B,28,28-33,Hayag nga at talastas ng lahat na sa araw na ito'y cafiestahan ng Virgen de la Paz (Virgen ng Capaya...
noli,planchang,2,B,28,28-42,"Sumusunod sa kanilang licuran ang mga cirial na pilac, ang caguinoohan ng bayan, ang mahahalagang mg..."
noli,carrong,2,B,28,28-43,Nalululan ang lahat ng mga larawang ito sa mga carrong pilac....
noli,Convento,2,B,28,28-53,"""Ng matapos ang misa'y pumanhik caming lahat sa convento, na kasama ng mga caguinoohan sa bayan at i..."
noli,mairuguin,2,B,28,28-68,"""Ang mairuguin ninyong catotong nakikirama'y...."
noli,Corresponsal,2,B,28,28-69,"""Ang Corresponsal...."
noli,Choy,2,B,28,28-74,"""Minamahal kong Choy: Magmadali cang pumarini, kung mangyayari; sapagkat ang fiesta'y totoong masaya..."
noli,palagui,2,B,28,28-74,"""Minamahal kong Choy: Magmadali cang pumarini, kung mangyayari; sapagkat ang fiesta'y totoong masaya..."
noli,Consul,2,B,28,28-76,"Natalo ang Consul sa kanyang mga sasabungin, at natalo sa bangca ang lahat ng pinanalunan sa atin sa..."
noli,magcacandila,2,B,29,29-9,Lalong marami ang bilang ng mga candilang kanilang binili: nag-ani ng malaking pakinabang ang mga in...
noli,pinatatacbo,2,B,29,29-33,"Amoy polvora, amoy bulaklak, amoy incienso, amoy pabango; pinatatacbo at pinasisigaw ang mga babae a..."
noli,calangitang,2,B,29,29-46,"Cadakilaan sa mga cahulugan, capangahasan sa mga munacala, mga bagong pananalita, cagandahan sa anyo..."
noli,pinagcaisahan,2,B,29,29-50,Dahil sa bagay na ito'y ibig sana niyang magbitiw ng pagka tagasalita ng mga wica ng Dios sa mga tao...
noli,cahinahinayang,2,B,29,29-50,Dahil sa bagay na ito'y ibig sana niyang magbitiw ng pagka tagasalita ng mga wica ng Dios sa mga tao...
noli,cumiya,2,B,29,29-72,"Sumusunod ang ating cagalang-galang na Amang si San Francisco, pagkatapos ay ang Virgeng gaya kahapo..."
noli,kilic,2,B,29,29-81,"Sa dakong ibaba ng bintana'y may isang dalagang nacalulugod ang ganda ng mukha, mahalaga ang suut na..."
noli,pagtutulacan,2,B,30,30-3,"Malayo pa'y iniuunat na ang kamay sa pagbabasa ng mga daliri ng tubig na bendita, ngunit caguinsagui..."
noli,catumbas,2,B,30,30-7,"Bahagya na macahinga roon, mainit at amoy hayop na dalawa ang paa; datapwat catumbas ng laha't ng pa..."
